Contact Developer,Verfified by developer,Investment (USD Million),Developersorted ascending,Developersorted ascendingDeveloper Category,Planned COD,Unnamed: 1,Developer Category,Project Status,State,Project Name,source
Contact,--,0.26,BHARDWAJ EDUCATIONAL AND SOCIAL WELFARE TRUST,BHARDWAJ EDUCATIONAL AND SOCIAL WELFARE TRUSTPrivate,--,,Private,Permitting,Bihar,BHARDWAJ BIOGAS AND AGRI PRODUCT,biogas
Contact,--,0.01,BHAWANIKHERA MAHILA DUGDH UTPADAK SAKARI SAMITI (CODE_460),BHAWANIKHERA MAHILA DUGDH UTPADAK SAKARI SAMITI (CODE_460)Private,--,,Private,Permitting,Rajasthan,GOBAR GAS PALANT,biogas
Contact,--,1.42,BHOOMI HARJAS GREENTECH PRIVATE LIMITED,BHOOMI HARJAS GREENTECH PRIVATE LIMITEDPrivate,--,,Private,Permitting,Haryana,COMPRESSED BIO CNG AND ORGANIC FERTILIZER PLANT,biogas
Contact,--,8.65,BHOPAL RNG PRIVATE LIMITED,BHOPAL RNG PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Madhya Pradesh,Bhopal RNG Pvt Ltd.,biogas
Contact,--,14.22,BHUVANA ENGINEERS & CONSULTANTS PRIVATE LIMITED,BHUVANA ENGINEERS & CONSULTANTS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Maharashtra,BHUVANA ENGINEERS & CONSULTANTS PRIVATE LIMITED,biogas
Contact,--,2.96,BIO FLAME,BIO FLAMEPrivate,--,,Private,Permitting,West Bengal,BIO FLAME,biogas
Contact,--,5.93,BIOFICS PVT LTD,BIOFICS PVT LTDPrivate,--,,Private,Under Construction,Gujarat,Biofics Advance Multifeed BioCNG & Premium Biofertilizer Plant,biogas
Contact,--,0.01,BIOGASS PLANT JHODIYABADAM,BIOGASS PLANT JHODIYABADAMPrivate,--,,Private,Permitting,Chhattisgarh,BIOGASS PLANT HARAM,biogas
Contact,--,4.74,BIOHM INNOVATION PRIVATE LIMITED,BIOHM INNOVATION PRIVATE LIMITEDPrivate,--,,Private,Permitting,Uttar Pradesh,BIOHM INNOVATION PRIVATE LIMITED,biogas
Contact,--,5.93,BIOME ENERGY SS INFRASTRUCTURE PRIVATE LIMITED,BIOME ENERGY SS INFRASTRUCTURE PRIVATE LIMITEDPrivate,--,,Private,Permitting,Karnataka,BIOME ENERGY SS INFRASTRUCTURE PRIVATE LIMITED,biogas
Contact,--,0.03,BOIGAS PLANT SITADWAR,BOIGAS PLANT SITADWARPrivate,--,,Private,Under Construction,Uttar Pradesh,BIOGAS PLANT SITADWAR,biogas
Contact,--,0.02,BR GREEN ENERGY,BR GREEN ENERGYPrivate,--,,Private,Permitting,Rajasthan,BR GREEN ENERGY,biogas
Contact,--,1.19,BSP CLEAN FUEL AND ORGANIC FERTILIZER LLP,BSP CLEAN FUEL AND ORGANIC FERTILIZER LLPPrivate,--,,Private,Permitting,Maharashtra,BSP CLEAN FUEL AND ORGANIC FERTILIZER LLP,biogas
Contact,--,2.37,Bansal Hardware and Cement Store,Bansal Hardware and Cement StorePrivate,--,,Private,Permitting,Uttar Pradesh,Bansal BioEnergy,biogas
Contact,--,0.02,Barkoili Gobargas Plant,Barkoili Gobargas PlantPSU,--,,PSU,Under Construction,Jharkhand,Gobhardhan Yojna,biogas
